tsne-1,tsne-2,category,defect
-9.360368,5.339524,zipper,good
-39.314392,19.062588,grid,good
-13.283851,33.520386,cable,good
10.038998,-17.37784,toothbrush,good
-37.68662,20.472033,grid,defective
-27.243942,-0.40157288,bottle,good
-27.058659,-0.6817037,bottle,defective
-0.77337766,-44.425957,pill,defective
-6.0877614,2.9988787,zipper,defective
-3.943703,-43.202156,pill,defective
4.920919,15.463348,tile,defective
-42.995182,-16.020916,screw,good
-7.8602705,4.636579,zipper,good
-39.453415,-15.703767,screw,good
11.05158,38.5763,carpet,good
-13.328851,-18.77428,capsule,defective
4.8701906,16.214182,tile,good
8.105573,16.358248,tile,good
6.7545133,-12.563204,metal_nut,good
-3.3390243,-46.88147,pill,good
-12.263853,-20.104454,capsule,good
-1.7378334,-43.615803,pill,good
-37.77039,-16.922419,screw,defective
8.054605,-12.868859,metal_nut,good
8.007567,-13.034772,metal_nut,good
6.9563704,16.997557,tile,good
50.52061,-6.0787344,wood,good
26.42295,18.688929,leather,good
22.590206,0.116570264,transistor,good
10.348613,38.352398,carpet,good
-11.620184,-18.900518,capsule,good
11.545571,37.324398,carpet,defective
-8.330464,3.9554524,zipper,good
10.065818,-17.409468,toothbrush,good
48.65419,-4.690614,wood,defective
-42.492546,18.849964,grid,good
-36.051273,19.7926,grid,good
-26.346684,-0.9863729,bottle,defective
-4.432113,-44.037285,pill,good
10.712035,38.53739,carpet,good
-9.736146,3.6877422,zipper,defective
-37.088875,20.372608,grid,good
8.655314,16.27082,tile,good
10.06213,-17.403458,toothbrush,good
21.221003,-20.459291,hazelnut,good
-27.656507,0.90217507,bottle,good
-5.1689734,2.9969912,zipper,good
52.00886,-3.8806715,wood,good
22.217003,-21.838594,hazelnut,good
-10.333382,31.065493,cable,good
4.020849,16.021595,tile,defective
3.9854784,16.805025,tile,defective
51.401737,-4.08063,wood,good
-38.33316,-17.369528,screw,defective
-5.156903,2.2423587,zipper,good
-38.780087,-16.37589,screw,defective
7.3837605,33.427307,carpet,defective
-11.083566,-18.547585,capsule,good
-11.018517,31.818691,cable,good
22.770964,-22.659937,hazelnut,good
12.006332,-19.253046,toothbrush,good
-13.822196,31.137321,cable,good
-24.523804,-0.001104065,bottle,defective
3.1229837,-40.27705,pill,good
-13.719279,30.017666,cable,good
-35.07466,21.423075,grid,good
0.7215577,-41.515156,pill,good
20.533546,-22.566582,hazelnut,defective
-8.8252125,3.9337733,zipper,defective
-29.842522,3.759038,bottle,defective
-37.64431,-17.626612,screw,defective
-5.7273245,2.67649,zipper,defective
-14.975344,-21.48599,capsule,good
-39.194233,18.612637,grid,good
-26.605326,1.8245959,bottle,good
7.0972805,16.59565,tile,good
21.568705,-26.292263,hazelnut,good
21.096733,0.7152798,transistor,defective
-1.6487311,-45.351856,pill,good
3.0232306,-40.249214,pill,good
21.668556,2.023861,transistor,good
0.6784456,-40.493122,pill,good
25.966995,-26.763187,hazelnut,good
5.902562,-11.731172,metal_nut,defective
-38.064335,-20.276297,screw,good
25.827915,-24.967758,hazelnut,good
-11.043998,34.029587,cable,defective
23.484028,0.51919043,transistor,defective
-42.325134,-18.652414,screw,good
-28.789833,3.7563863,bottle,good
-26.637014,-0.35558268,bottle,good
-4.817548,-45.819523,pill,good
-25.98312,-1.4803439,bottle,good
-4.4885573,2.948862,zipper,good
0.7739075,-40.163803,pill,good
4.482491,-11.292661,metal_nut,good
11.219925,37.11582,carpet,defective
-38.757084,-19.541418,screw,defective
-38.35465,20.901363,grid,good
-2.6669745,-46.65326,pill,good
10.065547,-17.407906,toothbrush,defective
35.190617,17.486937,leather,defective
49.64527,-4.8166666,wood,good
-12.997736,30.882387,cable,good
25.354975,-24.525503,hazelnut,good
45.996605,-4.0836535,wood,defective
-10.935622,31.801474,cable,good
0.369453,-40.62776,pill,good
-28.287577,0.45146984,bottle,good
-4.806743,5.7973948,zipper,good
19.418182,2.6120436,transistor,good
12.371815,38.428806,carpet,defective
-10.838446,34.166016,cable,defective
-36.910442,-16.963182,screw,good
-38.4329,-16.452848,screw,defective
6.2074304,-10.41933,metal_nut,good
31.420195,18.31463,leather,good
50.102123,-5.7530193,wood,good
-5.289312,3.1810527,zipper,good
-41.861324,-17.784113,screw,good
-12.581313,-19.12326,capsule,good
6.7633185,33.866165,carpet,good
-35.49163,20.900011,grid,defective
-14.852184,-21.666819,capsule,good
-10.507899,-22.420662,capsule,good
-2.9756746,-46.301075,pill,good
5.145709,15.521801,tile,good
6.217637,33.58614,carpet,good
52.63053,-5.5544257,wood,good
5.316381,-9.79445,metal_nut,good
50.04512,-5.9999876,wood,good
-43.10104,19.09581,grid,good
7.8925014,-10.93915,metal_nut,good
11.806914,40.854298,carpet,good
-3.1384485,-43.9416,pill,good
-8.090325,4.040938,zipper,good
11.319336,38.561947,carpet,good
9.829464,35.9141,carpet,defective
-34.93947,20.322054,grid,good
24.874727,-24.417582,hazelnut,good
2.7163599,-10.351257,metal_nut,good
34.496223,16.992025,leather,good
-14.111236,32.622852,cable,good
-13.370872,31.81849,cable,good
5.805687,16.738516,tile,defective
36.561947,17.542313,leather,defective
-10.362178,-23.397078,capsule,good
31.350012,18.220488,leather,good
0.44623947,-42.591167,pill,good
8.068702,-14.810398,metal_nut,defective
-10.049358,30.622955,cable,good
-5.316544,6.1737337,zipper,good
-27.511024,2.8563895,bottle,good
-40.46571,19.574957,grid,good
25.859964,-24.053766,hazelnut,good
-45.27336,-14.749229,screw,good
-40.17615,19.180807,grid,good
-12.396895,-20.270496,capsule,defective
-6.1615577,6.541224,zipper,good
21.93633,1.2134818,transistor,defective
-27.986917,-0.034110043,bottle,good
4.9392443,15.762285,tile,defective
35.8537,17.49101,leather,defective
5.4807334,-13.844819,metal_nut,defective
22.557892,-24.168251,hazelnut,good
-9.501582,30.025269,cable,good
31.600195,17.987333,leather,good
-39.58469,19.661283,grid,good
3.1221967,-40.325752,pill,good
-13.469594,-19.751167,capsule,good
26.284678,18.834482,leather,good
5.2082877,-10.466044,metal_nut,good
23.403822,-22.270214,hazelnut,good
-13.432011,33.35262,cable,good
26.747,18.966085,leather,good
6.037923,-9.954289,metal_nut,good
31.60974,16.65184,leather,good
-38.441063,-18.520102,screw,good
7.7676063,-13.093232,metal_nut,good
19.168922,1.3973655,transistor,good
35.46251,16.963596,leather,defective
-38.34706,-16.174706,screw,defective
-40.78124,17.915531,grid,good
-11.43296,33.76425,cable,good
-42.726616,-16.549326,screw,defective
-26.805151,1.6575532,bottle,good
-45.387386,-14.4985695,screw,good
36.425217,17.211435,leather,defective
-3.556294,-46.957443,pill,good
20.677443,0.4060776,transistor,defective
-35.033382,21.445864,grid,good
6.8907824,17.122288,tile,good
7.3628755,34.894978,carpet,good
49.945015,-4.7435026,wood,good
50.943073,-4.582889,wood,defective
4.960162,14.817158,tile,good
27.79393,19.306913,leather,good
2.9986465,-10.496881,metal_nut,good
3.125683,-40.431454,pill,good
11.393554,38.938545,carpet,good
7.3074203,34.899155,carpet,good
-11.371278,-19.829622,capsule,good
-40.57741,-15.891868,screw,good
-41.140102,-15.267147,screw,good
-37.27938,-17.583677,screw,defective
-8.194026,5.749402,zipper,good
11.303074,-18.744797,toothbrush,defective
-12.00319,29.73063,cable,good
-14.6068,30.156693,cable,defective
7.7125936,17.138313,tile,good
8.570285,34.71187,carpet,good
12.682454,41.10601,carpet,good
19.322546,-20.750887,hazelnut,good
-43.016514,19.177149,grid,good
-38.308754,-19.889845,screw,good
-37.63212,21.031126,grid,good
-10.362835,-23.362127,capsule,good
4.9007525,17.42389,tile,defective
-28.153667,1.9592663,bottle,good
-37.27156,-17.02214,screw,defective
-12.185626,31.46196,cable,good
-41.80709,-15.47896,screw,good
26.115723,-25.229841,hazelnut,good
-28.21843,3.5713995,bottle,good
9.548729,36.412594,carpet,good
13.081349,41.231834,carpet,good
12.009596,-19.254196,toothbrush,defective
-38.938038,18.4017,grid,good
4.032209,-9.750949,metal_nut,good
10.422,37.850925,carpet,good
18.745857,2.144469,transistor,good
31.438826,18.752762,leather,good
-10.056201,-20.769615,capsule,defective
-37.618767,21.18179,grid,good
-10.992412,29.73286,cable,good
-27.097654,-1.063817,bottle,defective
-7.5667744,4.452693,zipper,good
-11.156998,29.85178,cable,good
48.667522,-4.8364024,wood,defective
7.9587603,35.335804,carpet,good
6.9164877,34.19092,carpet,good
-11.675708,32.802746,cable,good
28.267004,18.244907,leather,good
36.126934,17.804647,leather,defective
25.95521,-25.478235,hazelnut,good
21.870628,-24.40162,hazelnut,good
36.10503,17.200247,leather,good
-28.887283,3.593003,bottle,good
-26.228918,-1.5000391,bottle,good
-10.718035,-19.244202,capsule,good
-13.137361,-19.7919,capsule,defective
-12.143151,-20.843561,capsule,good
-8.541312,4.4599104,zipper,good
-37.87403,-19.272684,screw,defective
29.002066,18.340746,leather,good
32.1246,18.056503,leather,good
-10.39681,-23.225904,capsule,good
21.39682,-25.14885,hazelnut,good
33.799335,17.91171,leather,defective
-36.769363,-17.419346,screw,good
-41.027058,18.66086,grid,good
-4.4442263,5.419221,zipper,good
-9.440622,2.4899309,zipper,defective
20.550972,-24.551134,hazelnut,good
-36.584988,-17.921597,screw,good
-15.101834,-21.383574,capsule,good
21.651262,-25.797653,hazelnut,good
-27.288073,0.20574984,bottle,good
-38.126667,20.875648,grid,good
-35.656258,-18.557589,screw,good
-8.032384,2.976209,zipper,defective
47.147217,-3.7308128,wood,defective
-6.51771,2.80394,zipper,good
-3.3336341,-45.897903,pill,good
33.683388,16.88405,leather,defective
4.291494,-10.459792,metal_nut,good
28.01147,18.875736,leather,good
-13.431114,31.13681,cable,good
46.560913,-4.9103727,wood,good
-11.700602,32.59964,cable,good
-45.898006,-14.556996,screw,good
21.86493,-26.316622,hazelnut,good
17.062988,-21.167238,hazelnut,defective
-41.66977,19.675962,grid,good
46.457104,-4.549042,wood,defective
-25.293245,-1.9300199,bottle,good
-37.330494,-18.643381,screw,good
11.380972,-18.821716,toothbrush,good
12.942879,41.17105,carpet,good
-5.861782,3.2564154,zipper,defective
-25.62193,-0.45068276,bottle,defective
-36.503742,20.959097,grid,good
-10.683169,4.263422,zipper,defective
20.082127,-20.66526,hazelnut,good
22.466274,-0.60603476,transistor,good
36.494648,17.42628,leather,defective
2.526728,-41.29558,pill,good
-13.275931,31.13904,cable,good
0.84722763,-40.22695,pill,good
-39.897205,-19.563623,screw,defective
21.24863,-21.0881,hazelnut,good
-2.4065797,-43.735012,pill,good
-11.230771,31.854824,cable,good
31.899239,18.219069,leather,good
-42.41525,19.049597,grid,defective
-45.110523,-14.687021,screw,good
-3.0270054,-44.00775,pill,good
7.56391,17.903542,tile,good
18.407785,2.831488,transistor,good
11.969447,-19.227926,toothbrush,good
21.595064,-22.484774,hazelnut,good
-9.974356,6.302563,zipper,defective
-45.336304,-14.365291,screw,good
-1.6154977,-44.756107,pill,good
29.828676,17.172964,leather,defective
-5.0381866,-44.477028,pill,defective
21.69063,-20.988705,hazelnut,good
19.014505,3.0354252,transistor,good
49.601967,-5.948959,wood,good
19.066029,-21.154747,hazelnut,good
10.166836,37.819317,carpet,good
-38.30987,-17.905897,screw,defective
49.41282,-4.4957075,wood,good
11.505434,39.10523,carpet,good
-11.644468,34.093098,cable,good
-40.026108,18.813267,grid,good
-14.269327,-20.395662,capsule,good
-7.004199,5.209289,zipper,good
-7.649544,3.9752462,zipper,good
-14.751942,-21.408873,capsule,good
-42.55516,19.916166,grid,good
-5.306164,5.2033463,zipper,good
-12.215773,-18.646116,capsule,good
-26.433687,-0.20396131,bottle,good
25.744349,-24.346954,hazelnut,good
20.647654,-20.925314,hazelnut,good
-14.64087,32.322495,cable,good
10.194797,37.37013,carpet,good
6.3938937,-11.361686,metal_nut,good
18.078245,2.3294275,transistor,good
13.679374,41.265812,carpet,good
-11.143967,-21.578955,capsule,good
-5.1200666,-45.52361,pill,defective
-10.857184,-20.587908,capsule,good
27.143408,18.774538,leather,good
-43.143116,-17.189548,screw,good
-39.695976,19.570347,grid,good
-41.606907,-17.724718,screw,good
-14.236774,-17.437473,capsule,good
-3.4914694,-45.97722,pill,good
-8.093252,1.2872913,zipper,good
35.31625,17.46579,leather,good
21.923885,-22.043257,hazelnut,good
18.332811,-21.370243,hazelnut,good
-10.67595,34.763657,cable,defective
4.5627933,17.865429,tile,good
10.662679,36.61032,carpet,defective
-29.170269,3.6756537,bottle,good
23.624046,-0.5863817,transistor,good
-38.494495,-16.941725,screw,defective
-41.840946,-14.815976,screw,good
21.71827,0.9275328,transistor,good
29.413317,18.00515,leather,good
-2.4570258,-43.40388,pill,defective
-4.718392,-44.26719,pill,good
12.701339,38.793877,carpet,defective
12.095347,39.60782,carpet,good
-35.11738,20.375174,grid,good
-10.507371,29.777914,cable,defective
6.446883,-13.031077,metal_nut,defective
30.656971,18.237185,leather,good
46.080532,-4.1267247,wood,defective
9.846952,35.679665,carpet,defective
-37.82497,-18.120264,screw,defective
25.666494,-24.94515,hazelnut,good
-4.6604505,3.1986408,zipper,defective
-0.9775634,-41.274574,pill,good
46.16245,-4.5921254,wood,good
-4.398279,-46.531868,pill,good
-15.3888855,32.434345,cable,defective
12.234562,38.31192,carpet,good
-40.91558,-15.649546,screw,good
5.291871,14.703785,tile,defective
-4.5127773,4.3724337,zipper,defective
6.010959,-10.394129,metal_nut,good
34.15181,16.853838,leather,good
-42.29385,-16.782358,screw,good
-13.864923,-19.445671,capsule,defective
-11.898008,-19.019398,capsule,good
20.169031,2.6497846,transistor,good
24.91082,-22.959497,hazelnut,defective
12.678001,38.572773,carpet,defective
-8.090677,6.2459455,zipper,good
12.807166,39.245384,carpet,good
20.426655,0.9214766,transistor,good
2.5754228,-40.322956,pill,good
-26.970755,-2.3523319,bottle,defective
-7.95668,1.3235846,zipper,good
27.064348,18.883162,leather,good
51.377098,-3.9863656,wood,good
12.572029,39.834656,carpet,good
47.156425,-5.9024506,wood,good
-11.623296,-18.79209,capsule,defective
8.308134,16.665384,tile,good
-13.333116,33.132565,cable,good
20.304905,1.7936423,transistor,good
-14.930493,29.154871,cable,good
50.713566,-6.6819067,wood,good
-43.01965,18.611252,grid,good
-39.22221,17.935106,grid,good
-42.684807,-18.598043,screw,good
50.717747,-5.0294733,wood,good
29.59291,18.125914,leather,good
-9.876775,6.239467,zipper,defective
-12.455552,31.004581,cable,good
-36.50076,-17.603735,screw,good
-14.542053,31.969492,cable,defective
-2.011933,-45.340034,pill,good
-26.75282,0.5354879,bottle,good
28.660809,18.076265,leather,good
-2.2578406,-43.782665,pill,good
-3.0347595,-46.17868,pill,good
17.927208,-20.951296,hazelnut,good
12.289795,40.929604,carpet,good
22.325127,0.61720693,transistor,good
-11.834043,-20.797167,capsule,good
11.83296,-19.122257,toothbrush,good
-12.322389,30.758045,cable,good
-37.50127,19.518618,grid,good
24.072685,-22.425325,hazelnut,good
